HRU,sol_pfas_ugha,kf,nf
800,28600.0,450.2,0.43
801,28600.0,450.2,0.43
802,35000.0,450.2,0.43
803,35000.0,450.2,0.43
804,35000.0,450.2,0.43
805,22260.0,450.2,0.43
806,22260.0,450.2,0.43
807,22260.0,450.2,0.43
808,36340.0,216.4,0.48
809,36340.0,216.4,0.48
810,20670.0,450.2,0.43
811,20670.0,450.2,0.43
812,20670.0,450.2,0.43
813,34730.0,216.4,0.48
814,34730.0,216.4,0.48
815,34730.0,216.4,0.48
816,36340.0,216.4,0.48
817,36340.0,216.4,0.48
818,36340.0,216.4,0.48
819,5500.0,366.7,0.33
820,36800.0,216.4,0.48
821,36800.0,216.4,0.48
822,36800.0,216.4,0.48
823,28600.0,450.2,0.43
824,28600.0,450.2,0.43
825,21450.0,216.4,0.48
826,21450.0,216.4,0.48
827,21450.0,216.4,0.48
828,21450.0,216.4,0.48
829,21450.0,216.4,0.48
830,21450.0,216.4,0.48
831,32200.0,216.4,0.48
832,32200.0,216.4,0.48
833,32200.0,216.4,0.48
834,28800.0,450.2,0.43
835,28800.0,450.2,0.43
836,28800.0,450.2,0.43
837,34040.0,216.4,0.48
838,34040.0,216.4,0.48
839,34040.0,216.4,0.48
840,35190.0,216.4,0.48
841,35190.0,216.4,0.48
842,35190.0,216.4,0.48
843,32000.0,450.2,0.43
844,32000.0,450.2,0.43
845,32000.0,450.2,0.43
846,39900.0,216.4,0.48
847,39900.0,216.4,0.48
848,39900.0,216.4,0.48
849,22500.0,216.4,0.48
850,22500.0,216.4,0.48
851,22500.0,216.4,0.48
852,41440.0,450.2,0.43
853,41440.0,450.2,0.43
854,32550.0,216.4,0.48
855,32550.0,216.4,0.48
856,32550.0,216.4,0.48
857,34800.0,450.2,0.43
858,34800.0,450.2,0.43
859,34800.0,450.2,0.43
860,27180.0,216.4,0.48
861,27180.0,216.4,0.48
862,27180.0,216.4,0.48
863,34040.0,216.4,0.48
864,34040.0,216.4,0.48
865,34040.0,216.4,0.48
866,22500.0,216.4,0.48
867,32175000.0,216.4,0.48
868,32175000.0,216.4,0.48
869,50025000.0,450.2,0.43
870,50025000.0,450.2,0.43
871,52095000.0,216.4,0.48
872,52095000.0,216.4,0.48
873,52095000.0,216.4,0.48
874,51060000.0,216.4,0.48
875,51060000.0,216.4,0.48
876,51060000.0,216.4,0.48
877,48300000.0,216.4,0.48
878,48300000.0,216.4,0.48
879,48825000.0,216.4,0.48
880,48825000.0,216.4,0.48
881,40770000.0,216.4,0.48
882,40770000.0,216.4,0.48
883,33750000.0,216.4,0.48
884,33750000.0,216.4,0.48
885,31005000.0,450.2,0.43
886,31005000.0,450.2,0.43
887,31005000.0,450.2,0.43
888,52095000.0,216.4,0.48
889,52095000.0,216.4,0.48
890,51060000.0,216.4,0.48
