reach,PFOS,PFOA,PFHxS,PFBS,PFHxA
119,0.9344654377086621,0.8066911421179318,0.7974343581101742,0.6978548495119838,0.46048623890920964
120,0.897930773311331,0.8159284193798466,0.8094378365957446,0.7365982317688459,0.5293530335196649
121,0.895059406961661,0.7737498792130859,0.7622581536257195,0.5981043106918902,0.27731094888382124
122,0.9258627680371396,0.8667232229671801,0.8610349080826488,0.7949769203368522,0.5857457735229695
123,0.9131031532001476,0.8090223617582669,0.8002712045870909,0.7029001572674349,0.45897727899092444
124,0.0,0.0,0.0,0.0,0.0
125,0.8853319983374613,0.7858444718915639,0.7781135265946756,0.692972390512679,0.4659415554742339
126,0.0,0.0,0.0,0.0,0.0
127,0.9483547320319815,0.8538840973307942,0.8445945058885241,0.7238021005003543,0.32886462864585386
128,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0
130,0.9342697696004779,0.8104660267984589,0.8013520637322786,0.702497166266502,0.4524246538087124
131,0.8933212413947175,0.7908786449520864,0.7829947999041745,0.6969553588779506,0.47142525615654246
132,0.9125660750979141,0.807397447524106,0.7994332129041118,0.7118670482642699,0.4844700196559428
133,0.9214643722779146,0.8446093927508463,0.8375187138920787,0.7562161794975987,0.525861985629365
134,0.9222980036447086,0.8235187366152977,0.8158942522417801,0.7278584700701126,0.29666827177946115
135,0.8915862790541643,0.8080082713252296,0.8006840540846452,0.7159632134452535,0.47146752694092614
136,0.8864392634453496,0.8211676070622532,0.8159454095338045,0.7553786127168112,0.5629230008044713
137,0.8850333774558243,0.7723642804368689,0.7637720098633873,0.6658949715814265,0.3760861851202901
138,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0
140,0.9089889652734026,0.8173548706404095,0.8099516547365283,0.7272769724273631,0.4871281518545546
141,0.8948493358978701,0.7811787338110927,0.7718647799323765,0.670755902865251,0.4223424872772742
142,0.8613225408548969,0.7760360919135566,0.7701800350294837,0.7038371558093237,0.49469019267477576
143,0.8896544566268055,0.8214154939276987,0.8158090277331321,0.7466786247837216,0.5135346159077033
144,0.8554489872342917,0.7539068537295989,0.7470628905736862,0.6730813300033494,0.47795612576780194
145,0.8989228090203097,0.8468391126405412,0.842008196581866,0.7833263300372437,0.5737816817444834
146,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0
148,0.934659379612343,0.8231354408288034,0.8140509893217077,0.7165875631103851,0.5094272390980752
149,0.8876270818646029,0.7745595970171636,0.765961117896862,0.6708885837397318,0.42007396535294916
150,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0
152,0.9294196949414655,0.8637930279642883,0.857631379658921,0.7838376275775126,0.32440085161987114
153,0.9313691852862722,0.81634090928721,0.8046951541153087,0.6634879696958267,0.4267541322452937
154,0.9148458381479594,0.7952229325729318,0.7846246823644157,0.6609014486177295,0.3827274253547494
155,0.9316204027720147,0.8445008940853418,0.837742595172994,0.764369079366233,0.5336446964797084
156,0.9152910988116959,0.7997905750235285,0.7905693868436253,0.6871567264500947,0.3492615441923218
157,0.0,0.0,0.0,0.0,0.0
158,0.8995431574333806,0.8019332444641184,0.7944433944118744,0.7129917355864036,0.4967886796996104
159,0.0,0.0,0.0,0.0,0.0
160,0.9161194962273067,0.8298297514281311,0.8226749058555733,0.7431472307308542,0.5039272284739201
161,0.92986397346229,0.7631287235462073,0.7508639924588539,0.6152824159765219,0.28777711121536054
