reach,PFOS,PFOA,PFHxS,PFBS,PFHxA,tot,PFOS_f,PFOA_f,PFHxS_f,PFBS_f,PFHxA_f
68,0.899921941715639,0.8191601301504801,0.8126732341454795,0.7397442541022463,0.5316901481822185,3.8031897082960633,0.23662294303978582,0.2153876595647097,0.21368201338280865,0.1945062725870892,0.13980111142560667
69,0.895059368934625,0.7737497320137311,0.7622579950891997,0.5981039934934564,0.2773107769548639,3.306481866485876,0.2706984054583347,0.23400997291301376,0.23053445500952535,0.18088833317241823,0.08386883344670792
70,0.9152312590137645,0.8580542425079862,0.852791741712631,0.7933285391963917,0.6051098662944253,4.024515648725199,0.22741401423141988,0.21320683466090695,0.21189922369484643,0.19712397924149844,0.1503559481713282
71,0.921524386517021,0.8166581553181634,0.8077136209393122,0.7085692764710926,0.4644448731523636,3.7189103123979526,0.24779419483306178,0.21959608775603476,0.21719093849792215,0.19053142371002954,0.12488735520295181
72,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
73,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
74,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
75,0.9456384464681308,0.8489404435597104,0.839513395245495,0.7179183242851783,0.326741436300956,3.6787520458594707,0.2570541408281297,0.23076859570223401,0.22820602877826157,0.1951526809460327,0.08881855374534194
76,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
77,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
78,0.8986601941673348,0.782470858531611,0.7736771476064572,0.6787316137266953,0.4293503296200985,3.562890143652197,0.2522278706146547,0.2196168916197699,0.21714875183139584,0.19050029227983736,0.12050619365434212
79,0.8821288160840872,0.7855301603624644,0.7778804400198777,0.6928063480259713,0.4658635322449689,3.604209296737369,0.2447496089870849,0.21794798683682112,0.2158255461812489,0.19222145302524996,0.1292554049695953
80,0.9090620825599256,0.8015773469780277,0.7934634501063843,0.7048562466952405,0.4800102040573843,3.6889693303969624,0.24642711856379226,0.217290325612919,0.21509082321944958,0.19107132197799875,0.13012041062584043
81,0.921464364511662,0.8446093618879508,0.8375186812554343,0.75621612883565,0.5258619094173992,3.8856704459080964,0.23714423992956823,0.2173651558066094,0.21554032770262452,0.19461664064486028,0.1353336359163375
82,0.9233258738125693,0.8226124030790284,0.8149585573173553,0.7254143139105407,0.283331844674537,3.569642992794031,0.2586605651255516,0.2304466874529526,0.2283025386467208,0.20321760898076374,0.07937259979401119
83,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
84,0.8691548220357652,0.7830073864445644,0.7769669142694752,0.7105827296191105,0.520878118056048,3.6605899704249634,0.23743572185301698,0.21390196464797281,0.21225182840657675,0.19411699626566423,0.14229348882676923
85,0.8850332968887313,0.7723640632156488,0.7637717833965915,0.6658946280819963,0.3760856413747034,3.463149412957671,0.25555735296239407,0.22302360398479554,0.22054254446512578,0.19228007477543252,0.10859642381225212
86,0.930014715552107,0.82387098309964,0.815557281187452,0.7253910749479286,0.499491691268532,3.7943257460556596,0.245106714023932,0.2171323808864023,0.2149412928068323,0.19117785965055825,0.13164175263227515
87,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
88,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
89,0.9090744039139852,0.8167019442801429,0.8092573213263621,0.7261332274893332,0.4838722285497361,3.7450391255595594,0.24274096302749767,0.2180756774224933,0.21608781489177314,0.19389202706416026,0.1292035175940756
90,0.885663752263232,0.7959420225695903,0.7890597982479978,0.7122467957840455,0.4360908376919034,3.619003206556769,0.2447258821596568,0.2199340473441785,0.21803235676011834,0.19680745087310905,0.12050026286293722
91,0.8622596289141368,0.7782839414824372,0.7724015883099157,0.7052172271891745,0.4936137425752547,3.611776128470919,0.23873562431434056,0.21548510034921,0.21385644094085074,0.19525496656065863,0.13666786783493995
92,0.884112662403387,0.8151768880024902,0.8098279656557039,0.7441459047356891,0.5180132810013249,3.7712767017985946,0.23443325226752432,0.21615409116327017,0.21473575918454388,0.19731935988170574,0.13735753750295607
93,0.8554488620088999,0.7539066206674747,0.7470626490688682,0.6730809964788057,0.4779556303163649,3.5074547585404137,0.24389448215288884,0.21494407556698014,0.21299281116878885,0.19190012211558802,0.1362685089957541
94,0.8831857795487228,0.8360168387851734,0.8316023692247533,0.7736742974841231,0.5435505921842234,3.868029877226996,0.22832961677686983,0.21613505203442657,0.21499378123235488,0.2000176632655105,0.14052388669083826
95,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
96,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
97,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
98,0.8901807867572181,0.7770683285861361,0.7684172716966209,0.6729029041857528,0.4246395808794561,3.533208872105184,0.2519468333121284,0.21993274576012742,0.2174842471848477,0.19045092677603817,0.1201852469668582
99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
100,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
101,0.9283352729033376,0.8628637797304628,0.8567724281343541,0.7838224177195909,0.3331500361610417,3.764943934648787,0.24657346537351224,0.22918369960028503,0.22756578663747834,0.2081896653243815,0.08848738306434294
102,0.9313691690800864,0.8163408262218257,0.8046950652498194,0.663487836967102,0.426754037335166,3.6426469348539996,0.25568472205429826,0.2241064920156873,0.2209094319710873,0.18214442652090165,0.1171549274380254
