reach,row,col,Channel,d
532,127,86,274,74.8158486083051
533,39,32,242,108.30891292591365
534,65,43,169,3.1949890434851524
535,43,46,241,161.16683755273002
536,123,14,258,67.6889061041494
537,81,68,163,77.73679692312746
538,130,46,375,0.04769824067184793
539,91,95,195,44.371770055752
540,36,36,80,69.96190509232082
541,104,51,94,39.30808391629693
542,74,81,101,33.16101051607734
543,125,49,73,154.49127102904816
544,135,88,132,100.99048376782437
545,71,48,141,82.15125546492877
546,42,44,153,61.03335707065369
547,56,34,224,47.87132089855939
548,143,83,210,93.69609220401809
549,54,46,156,46.61277041667508
550,92,22,298,141.82643581633937
551,66,90,293,10.417740063647932
552,128,37,202,82.70928716981811
553,115,31,238,145.4830240296193
554,113,88,312,27.24335995487269
555,32,33,137,80.28439960583582
556,28,48,558,5.407130961946572
557,42,32,159,21.70636177587012
558,126,24,296,148.86457338201507
559,81,59,255,30.93775326074637
560,65,36,167,18.00953074293846
561,55,42,233,104.54013063537916
562,73,18,115,50.89098457538748
563,117,97,270,119.90015502580707
564,117,28,191,115.10990547291789
565,127,85,274,121.82563436048872
566,39,33,72,76.24307902028627
567,65,42,169,162.4925030181902
568,43,45,241,28.964369020054683
569,123,14,258,67.6889061041494
570,81,67,163,21.965627261239803
571,130,47,375,56.26247830764355
572,91,94,195,43.067398015788704
573,37,36,80,72.78259839543229
574,104,51,94,39.30808391629693
575,75,81,101,41.55279314426506
576,124,49,91,24.491093483328047
577,135,87,519,9.708652395927285
578,72,48,141,92.86551657337267
579,55,34,224,127.82510195726034
580,142,83,134,14.20484261194888
581,55,46,156,115.16205079551048
582,93,22,298,62.8546624979451
583,66,90,293,10.417740063647932
584,127,37,202,114.06258671939024
585,115,30,437,25.948195771960144
586,114,88,312,141.27282705514054
587,33,33,137,85.79897338218682
588,28,47,183,22.01395985882167
589,42,33,54,108.62622784042424
590,126,23,296,93.50156387201376
591,82,60,255,113.39451772155238
592,65,37,167,26.969333654801186
593,56,42,233,102.05805680025362
594,73,19,115,63.35193913056093
595,117,96,270,42.11250054400395
596,117,27,191,6.30101616507107
597,126,85,274,90.3488165614041
598,64,42,169,7.456840200478227
599,43,45,241,28.964369020054683
600,123,15,207,108.08158919449917
601,82,67,163,74.43719332344038
602,130,47,375,56.26247830764355
603,90,94,195,49.82270008429571
604,38,36,80,75.72804787629364
605,104,50,92,41.21475392676405
606,76,81,101,8.494637395917572
607,125,49,73,154.49127102904816
608,135,87,519,9.708652395927285
609,72,47,141,43.4024486065648
610,55,35,224,24.14230983332183
611,142,83,134,14.20484261194888
612,55,45,156,73.58525416077298
613,93,23,298,13.081326213393313
614,67,90,230,63.29732418756444
615,127,38,202,6.643170654014158
616,115,30,437,25.948195771960144
617,114,87,312,29.521446792147884
618,33,33,137,85.79897338218682
619,29,47,158,35.982816215604835
620,125,23,222,37.07360723924476
621,82,59,255,112.58445321438914
622,65,37,167,26.969333654801186
623,57,42,233,135.98616019282755
624,73,20,115,18.08465683604573
625,117,95,270,49.14872512686435
626,116,27,191,150.05749654359425
627,126,84,12,39.68306812926514
628,63,42,169,13.739845962715988
629,43,44,149,117.45050686263106
630,122,15,207,132.94369639786785
631,82,66,163,12.108642819976652
632,90,93,195,71.07666262333535
633,39,36,80,113.21268251473526
634,104,50,92,41.21475392676405
635,77,81,101,122.26226313529024
636,125,48,73,91.38852843182885
637,135,86,113,39.74116011496038
638,73,46,123,87.08722322765082
639,55,36,224,17.01824110481211
640,142,82,134,49.75412964863082
641,56,45,156,67.48190428899737
642,93,24,298,156.48814358998928
643,67,89,230,97.15582769144623
644,127,39,202,154.55219375628621
645,116,30,190,26.93081937479615
646,115,87,270,35.46436061327355
647,34,33,119,89.26012318548462
648,29,47,158,35.982816215604835
649,124,21,379,35.15752703961152
650,83,59,255,159.17872695717318
651,65,38,46,44.50822601392036
652,57,41,233,89.48431834521051
653,73,21,115,41.108674868339136
654,117,94,270,56.10379030872244
655,116,26,191,83.4169120134369
656,126,84,12,39.68306812926514
657,62,42,118,23.811843543963025
658,42,44,153,61.03335707065369
659,122,15,207,132.94369639786785
660,82,65,163,75.71621449796423
661,89,93,195,130.43652854656858
662,39,36,80,113.21268251473526
663,104,49,92,57.064666715155845
664,77,82,101,31.453788917730463
665,125,48,73,91.38852843182885
666,135,85,113,31.212310108930605
667,73,47,123,150.8076534381098
668,55,37,50,95.15679270958728
669,142,82,134,49.75412964863082
670,57,45,156,69.22455793366544
671,94,24,298,68.09348785796604
672,68,89,230,54.63987287841379
