reach,gwf_q_m3d
352,188.79535612996688
353,709.6965039049651
354,-0.0
355,-0.0
356,940.3320023894315
357,354.2285699371275
358,-0.0
359,851.1941282773088
360,565.5364403441052
361,-587.3195996277577
362,-539.2637141675264
363,34.13019473093503
364,71.03612763411415
365,26.100675835094126
366,123.97494206092745
367,526.3614198536033
368,-500.5539662727381
369,28.052506662023987
370,-916.2901851612442
371,-312.16141392840103
372,-2060.779850231331
373,97.99396142285013
374,248.4143769713733
375,2031.3296356035844
376,630.0098514309493
377,561.9361383189761
378,-42.54557052029537
379,1385.5340744982127
380,10.274400448038216
381,-0.0
382,3169.9672901194667
383,679.2327160662716
384,544.6564111188256
385,78.96879204518133
386,-0.0
387,-0.0
388,349.04543109924896
389,26.16640683270064
390,372.4728863937139
391,-0.0
392,-0.0
393,-1802.0557355282717
394,634.2045774157474
395,-0.0
396,10.242023109665467
397,-340.60806213253807
398,746.2139929337396
399,1779.9764837086568
400,268.9638910959353
401,-15.834696279251068
402,33.107836253837654
403,1055.8145863013312
404,468.2539506931802
405,-1406.944166227356
406,0.9317090827404547
407,1069.3180213329315
408,-754.5868110015675
409,2254.8242927623373
410,358.2712491265628
411,86.47334959416199
412,-66.38678494394951
413,531.2844332854598
414,139.08735576294978
415,841.0419263105927
416,346.0455878321044
417,-0.0
418,-844.2013246401257
419,708.4402837832606
420,185.08571963242542
421,39.84521637000568
422,-0.0
423,-0.0
424,16.87725366647175
425,443.98539971268957
426,807.4552175323832
427,-0.0
428,423.08593335861383
429,-291.4807049166069
430,424.56566442205394
431,-0.0
432,1577.3757404380212
433,-520.3155267323497
434,-375.42114312765756
435,-288.52226244537104
436,1618.2330339109596
437,-55.89300730698694
438,946.3564908359676
439,-159.89861997977562
440,-221.8049132919031
441,-0.6478610808627167
442,1134.9958466639648
443,-492.26149434001945
444,2153.440860379803
445,676.1465512012294
446,172.31886139257819
447,-597.2511128659077
448,15.843290660121635
449,-171.76799162753974
450,339.1336508991691
451,953.631197104784
452,3.5683246482664677
453,1548.740158338356
454,556.8578023557831
455,1514.4242494085622
456,29.970660857693915
457,-0.0
458,-0.0
459,0.27708585688655746
460,115.23503834047133
461,1395.9805745800618
462,-0.0
463,441.7600223357074
464,-625.4290775506785
465,311.75645231049305
466,28.173809685906765
467,19.007881119812602
468,-1127.9606487105018
469,234.64273310826692
470,-358.16541378794216
471,142.86516355505316
472,1134.838379313427
473,1319.148812877291
474,-808.0866520623468
475,237.09871797827273
476,1308.3012621451815
477,1353.2586663595612
478,949.7508421460924
479,1158.2892338291583
480,1070.7723599017581
481,13.140121454529455
482,-796.9782848515252
483,246.87161989793776
484,99.03199491935133
485,1534.8582482489596
486,-700.1194749331981
487,-3.5683246482664677
488,-945.9981186072424
489,648.5998374950725
490,318.36246315824
491,140.80932793660156
492,-0.0
493,-0.0
494,0.9369489390709025
495,237.34685778184638
496,331.3793984386252
497,-0.0
498,1082.7767718149673
499,-0.0
500,218.03344931056796
501,21.763651547442603
502,1129.8303002298046
503,-50.8916075996583
504,-507.8055220556086
505,842.2655858547365
506,171.22306335046838
507,-9.52975730923587
508,549.1363840157737
509,-268.5757377457724
510,317.4490609891881
511,409.3233388677417
512,13.986529219225089
513,367.74751329402716
514,-93.38413901099119
515,80.32758164009489
516,-152.17868217715082
517,479.48812518711765
518,1470.154774654039
519,1055.8757748960834
520,-1463.5520092609997
521,-0.0
522,-549.5360599520425
523,23.471515576072125
524,345.8446879921391
525,618.9597347515593
526,-0.0
527,-0.0
528,22.969202229995698
529,115.3105568428737
530,-1060.1177827807535
531,-0.0
532,335.25361378241524
533,-0.0
534,126.5779470428965
535,29.498582265735166
536,41.654613775867375
537,-0.0
538,-1647.6519135466092
539,1033.9695583093671
540,1390.9323393410118
541,209.60908124006627
542,228.37835237332837
543,291.7787866182403
544,-45.913547974352646
545,-1206.0581022579993
546,-1340.4531466010499
547,53.526036646758605
548,-71.95789557782201
549,-259.32245837167454
550,-1027.1224353097357
551,-285.0434778748887
552,632.3720863643318
553,-1367.8161894443379
554,-0.0
555,939.9439110493666
556,632.0016517125587
557,609.4326008358701
558,470.2052086890133
559,-0.0
560,-0.0
561,248.3815167278147
562,522.9096247117284
563,-645.7505285491615
564,-0.0
565,-866.4180502396177
566,-0.0
567,2.6773439434640007
568,-11.034149571996663
569,169.85069506811868
570,-0.0
571,74.60768586883549
572,247.82487750737678
573,752.2873938494052
574,265.6059462514638
575,1298.7921474020686
576,-513.1171370055888
577,420.20858819506776
578,160.69747926205605
579,1320.7752965351451
580,-75.55399485858064
581,-159.21231239337646
582,210.7951048716971
583,-217.55648672518572
584,415.1843193944509
585,-496.5532903540662
586,360.58040475323867
587,-37.30863995529648
588,333.5925750811885
589,84.96513534844048
590,-2.7128051036007936
591,-0.0
592,-0.0
593,281.96040205568835
594,-215.917794558781
595,766.2444943856048
596,-0.0
597,1343.6805240659185
598,2928.9413414586948
599,-35.46875389012068
600,44.83722866855595
601,-0.0
602,-85.01434274215174
603,7.705494008655348
604,1111.2248245993167
605,285.45094884486144
606,76.34604569050701
607,-238.8002216057886
608,-33.56014018008921
609,111.82233557736967
610,1804.061663941234
611,79.57144964920334
612,-0.0
613,154.57508196050384
614,251.72038872874418
615,982.4561034540128
616,1973.3288581345164
617,97.46801623915928
618,754.2254882153818
619,249.86488133531645
620,145.29464249233783
621,-0.0
622,-0.0
623,47.6771090929706
624,29.652390881233245
625,722.8606250091533
626,-0.0
627,296.39953527270785
628,410.20423123510056
629,389.78319430566467
630,424.89380417717706
631,457.552409595039
632,2695.500753735721
633,449.53855983592877
634,122.86339552108475
635,907.9964874485381
636,-286.700705888603
637,141.8573195666994
638,-1250.89814913254
639,307.1635531586202
640,273.32217987099614
641,-0.0
642,470.31239795976876
643,118.76551705946103
644,90.76569177006476
645,-147.13588706601385
646,1136.0998425942926
647,623.8373392950599
648,514.2200157233666
649,953.310685987772
650,-0.0
651,-0.0
652,107.44497613221789
653,253.1615611105587
654,1052.8254548757238
655,811.4532755241112
656,567.392112069276
657,19.23993329747497
658,79.22199528254508
659,-34.9251826713258
660,280.1051384468827
661,153.5625612650385
662,567.8835629350383
663,65.79848045298469
664,652.4449869563257
665,-0.0
666,218.77162922466275
667,584.3774110261921
668,-91.6380863192117
669,7.824946407715101
670,-0.0
671,609.4281465494936
672,-664.9393971066074
673,-53.94660338460903
