reach,row,col,Channel,d,gwf_q_m3d,gain_m3d,c_PFOS,load_PFOS,c_PFOA,load_PFOA,c_PFHxS,load_PFHxS,c_PFBS,load_PFBS,c_PFHxA,load_PFHxA
67,39,38,276,121.9465404147731,1232.6259095363887,1232.6259095363887,0.9999829890486123,0.44990080360989115,0.9997642750210999,0.44980240231925317,0.9997323607023797,0.4497880437973621,0.9992405820271597,0.4495667884124178,0.9956345726468212,0.4479444142962514
68,56,53,280,19.504867954974653,689.2182418800985,689.2182418800985,0.9998588595117913,0.25152915232754935,0.9985336758503494,0.25119578295259226,0.9983530759324128,0.25115035039595,0.9954273542592235,0.25041434222299347,0.9748889578987492,0.24524760756082353
69,73,13,282,116.4840885074627,97.00613955900478,97.00613955900478,0.9999750337129416,0.035406356951695514,0.9996564015376919,0.03539507506549552,0.9996128640031305,0.035393533521519416,0.9989755412351277,0.0353709676807168,0.9946895817301309,0.035219213679868425
70,88,15,298,20.265013613583985,-77.79234801883975,0.0,0.9999381631090613,0.0,0.9992285784033094,0.0,0.9991300259883085,0.0,0.9976620498863971,0.0,0.9881993353585776,0.0
71,71,81,301,107.7274326420429,722.5544172950945,722.5544172950945,0.9998822436863036,0.2637013061619211,0.9990153181015206,0.26347266982949696,0.9989123331448561,0.2634455093635932,0.9975087423307185,0.2630753370424602,0.9894161443625256,0.26094105706306164
72,59,86,444,87.62500673869499,-0.0,-0.0,0.9998522886570168,-0.0,0.9989354942986393,-0.0,0.998829129930957,-0.0,0.9974005908919052,-0.0,0.9894015137686408,-0.0
73,110,51,592,5.286062066793328,-0.0,-0.0,0.9999667155019138,-0.0,0.9994681120599754,-0.0,0.9994025464387684,-0.0,0.9983566307567844,-0.0,0.9921583845423523,-0.0
74,131,30,306,4.223822925041255,-0.0,-0.0,0.9999723088294575,-0.0,0.9995882437291044,-0.0,0.9995294534939176,-0.0,0.9985572871613743,-0.0,0.9898547934936833,-0.0
75,142,78,308,116.44521273224277,1241.1587411681253,1241.1587411681253,34.574620667150555,15.663096322216202,9.671692468933472,4.381498562142948,1.5608342782759648,0.7070937344189254,1.7787142905987108,0.8057983782832965,1.9993797495790373,0.9057648933831641
76,107,30,310,134.33290562141565,-0.0,-0.0,0.9999543937657616,-0.0,0.9995419770487763,-0.0,0.9994896382683942,-0.0,0.9987441912891921,-0.0,0.9935880031531693,-0.0
77,107,93,312,85.14481337935887,-0.0,-0.0,0.9998035775780606,-0.0,0.9982607397391691,-0.0,0.9980698277370997,-0.0,0.9954040407515464,-0.0,0.9794369184839944,-0.0
78,76,88,314,104.7672475623156,-23.353331915931964,0.0,0.9999805044727795,0.0,0.9997375376146711,0.0,0.999703752543847,0.0,0.9992024060521075,0.0,0.9958634811243023,0.0
79,28,36,402,41.23044950905653,175.56902710031108,175.56902710031108,0.9999415714573028,0.06407895063313891,0.9993991701312128,0.06404419209445028,0.9993295017151501,0.06403972755460016,0.9983394313300746,0.06397628117619214,0.9921279677645097,0.06357823385168966
80,98,31,237,123.45187041472968,204.7324710714265,204.7324710714265,0.9999780266906383,0.07472570993384868,0.9996587154576351,0.07470184865096133,0.9996094496306613,0.07469816714617039,0.998826805616424,0.0746396822314739,0.9930674868502487,0.0742093035910931
81,27,54,322,35.46249233686986,62.733360254994814,62.733360254994814,0.9998732450086748,0.02289477409828786,0.9987705105651111,0.02286952404174137,0.9986313620841428,0.022866337864839655,0.9966582573604121,0.022821158351188715,0.9812758978476276,0.02246893805936483
82,92,29,323,93.46421272605716,418.0875472467073,418.0875472467073,0.9999426238062031,0.1525931990257189,0.999382605528892,0.1525077391419083,0.9993108699075215,0.15249679214586231,0.9982920604411748,0.15234131982978505,0.9918472089765725,0.15135782289824523
83,63,34,461,122.28985838940812,-0.0,-0.0,0.9999710035884593,-0.0,0.9996333272807976,-0.0,0.9995872902876142,-0.0,0.9989141175331613,-0.0,0.9944213181911113,-0.0
84,40,26,328,26.57491505960997,199.78528842980305,199.78528842980305,0.9999323230454535,0.07291669516302039,0.9993010145354029,0.07287065911725985,0.999220057585206,0.07286475560446926,0.998059980055832,0.07278016085977972,0.9904548723673197,0.07222558400870219
85,129,47,22,3.840713231828613,235.7170566098115,235.7170566098115,0.999941788335914,0.08603171732160787,0.9993120984275436,0.08597754086370892,0.9992270053556873,0.08597021973442982,0.9979900028111875,0.08586379208586478,0.9901667127110625,0.08519070182174154
86,132,19,333,78.14621088236757,12.549490406768806,12.549490406768806,0.9996368747982749,0.004578900680244655,0.9971159517260295,0.004567353430777014,0.9968046850984766,0.004565927654068919,0.9920655438488041,0.0045442197142770025,0.9616078361831473,0.004404706235067752
87,75,59,255,48.52649162471853,-0.0,-0.0,0.9999244349491393,-0.0,0.9991035731860917,-0.0,0.9989928379295636,-0.0,0.9973425619662054,-0.0,0.9866334682634581,-0.0
88,54,28,339,4.371713944756105,-0.0,-0.0,0.9999693466995897,-0.0,0.9995877114349877,-0.0,0.9995345690651416,-0.0,0.9987446338013546,-0.0,0.993369777746192,-0.0
