instream_lower,instream_mid,gw_plume,baseflow
12.6318,8.34658,23780.1,9.58652
12.6286,8.34576,23790.8,9.56396
12.4217,8.30012,23771.9,9.56396
18.903,8.33074,28037.1,9.56396
10.9798,7.99912,25691.1,5.55466
9.93875,8.00359,1141.89,5.55466
10.6361,8.2224,1144.48,7.68292
8.92701,6.86623,1144.48,7.68292
8.14677,6.24571,1144.48,7.68292
8.20577,6.3188,1147.97,9.48546
8.01209,6.08674,1129.49,3.83998
8.01325,6.09138,1131.63,3.94939
8.02972,6.09358,1131.55,3.95317
8.11833,6.16949,1131.55,3.95317
8.11832,6.16948,1131.55,3.95317
18.5494,14.7228,1131.55,3.95317
23.7804,14.9884,1295.79,11.6893
18.2031,14.2701,1295.07,11.1222
18.2015,14.2667,1294.76,11.0245
18.1958,14.2666,1294.75,11.0261
17.4209,14.0811,1213.45,6.84435
18.7282,14.2227,27253.8,6.84435
18.7283,14.2227,27253.8,6.84435
31.9024,25.0017,27253.8,6.84435
27.3408,21.3684,27253.8,6.84435
27.8912,21.9111,27264,6.84435
27.8956,21.4192,25286,2.64677
27.7254,21.3767,25061.1,2.64677
27.7121,21.3339,24684.5,2.64677
24.1257,18.4847,24684.5,2.64677
22.6378,17.2026,24684.5,2.64677
21.8449,17.194,24017.2,2.64677
21.89,17.1769,23702.6,2.47038
21.0468,17.1745,23642.8,2.47038
21.009,17.1273,23647.3,2.01012
13.4609,10.8634,1152.57,5.12285
13.4609,10.8634,1152.57,5.12285
13.3033,10.854,1122.06,5.12285
13.281,10.85,1118.11,5.12285
13.3341,10.8501,1125.58,5.12285
13.3438,10.8513,1126.98,5.12672
12.9791,10.5057,1131.19,2.83578
12.9716,10.4972,1131.22,2.75322
16.7543,12.0603,1123.07,5.89797
20.2907,14.8709,1123.07,5.89797
19.1446,13.8755,1113.87,5.89797
74.5568,13.8845,24052.7,5.89797
75.0194,14.281,24052.7,5.89797
18.1013,13.6432,23669.8,3.13208
19.8913,15.0701,23669.8,3.13208
19.865,15.083,23669.9,3.13208
34.1513,26.7507,23669.9,3.13208
34.1221,26.7619,23670.4,3.30143
34.183,27.0723,24370.4,7.64524
