vpuid,site_no,nwis_drain_area_km2,wbd_upstream_hu12_area_sqkm,wbd_over_nwis_ratio,wbd_minus_nwis_pct
0310,02310310,505.0477,459.2884,0.9094,-9.06
0310,02310322,12.4319,137.2519,11.0403,1004.03
0310,02310350,56.9797,137.2519,2.4088,140.88
0310,02310352,75.6277,137.2519,1.8148,81.48
0310,02310368,95.8296,137.2519,1.4323,43.23
0310,02310530,59.5697,98.7671,1.658,65.8
0310,02310673,305.6186,237.4315,0.7769,-22.31
0310,02310674,308.2086,237.4315,0.7704,-22.96
0310,02310680,41.9578,144.1862,3.4365,243.65
0310,02310742,119.1395,177.246,1.4877,48.77
0310,02310800,336.6985,300.819,0.8934,-10.66
0310,02310900,24.6049,582.9242,23.6914,2269.14
0310,02310947,725.1967,924.5092,1.2748,27.48
0310,02311500,1010.0954,1082.1065,1.0713,7.13
0310,02312000,1476.2932,1572.5184,1.0652,6.52
0310,02312180,220.149,208.1564,0.9455,-5.45
0310,02312200,375.5483,365.4142,0.973,-2.7
0310,02312300,1629.1025,1742.1131,1.0694,6.94
0310,02312500,2097.8904,2411.2972,1.1494,14.94
0310,02312558,2113.4303,2411.2972,1.1409,14.09
0310,02312598,2408.6889,2411.2972,1.0011,0.11
0310,02312600,2577.0382,2676.3264,1.0385,3.85
0310,02312632,39.8858,98.158,2.461,146.1
0310,02312635,74.0737,98.158,1.3251,32.51
0310,02312640,103.5995,207.5969,2.0038,100.38
0310,02312645,131.0534,207.5969,1.5841,58.41
0310,02312667,20.7199,141.8442,6.8458,584.58
0310,02312690,98.4195,141.8442,1.4412,44.12
0310,02312700,1087.795,703.2243,0.6465,-35.35
0310,02312719,3936.7819,3711.4569,0.9428,-5.72
0310,02312720,3936.7819,3711.4569,0.9428,-5.72
0310,02312762,4402.9798,3863.8452,0.8776,-12.24
0310,02313000,4726.7283,4291.3978,0.9079,-9.21
0310,02313200,5076.3767,4691.0729,0.9241,-7.59
0310,02313230,5231.776,4810.5679,0.9195,-8.05
0310,274319081452000,0.3108,57.1606,183.9154,18291.54
0310,274906081594500,1.554,161.5734,103.973,10297.3
0310,280809081535800,2.072,110.7859,53.4683,5246.83
