site_no,vpuid,nested_usable_gauges,basin_huc12s,drainage_km2
09144250,1402,137,197,17523.9
13057132,1704,137,246,24188.4
13057155,1704,137,246,24188.4
13057160,1704,137,246,24188.4
13058529,1704,137,246,24188.4
06652000,1018,136,345,38043.3
08329918,1302,135,246,24418.6
08329930,1302,135,246,24418.6
351207106383501,1302,135,246,24418.6
351208106382601,1302,135,246,24418.6
351208106383601,1302,135,246,24418.6
09058000,1401,134,73,6463.1
09058030,1401,134,73,6463.1
13057150,1704,133,245,23881.1
06650000,1018,133,330,36293.7
11078000,1807,132,60,6364.9
11078100,1807,132,60,6364.9
07109500,1102,132,195,16301.4
06720500,1019,130,132,12486.5
13057000,1704,130,241,23392.7
13057090,1704,130,241,23392.7
08329500,1302,130,243,24095.3
06720200,1019,129,130,12329.2
06720255,1019,129,130,12329.2
06720280,1019,129,130,12329.2
06720285,1019,129,130,12329.2
06720330,1019,129,130,12329.2
06720415,1019,129,130,12329.2
06720417,1019,129,130,12329.2
07263650,1111,129,466,40248.3
06279500,1008,129,363,40874.1
07263500,1111,128,456,39374.9
10170750,1602,127,105,8710.7
10172370,1602,127,105,8710.7
10172371,1602,127,105,8710.7
10172372,1602,127,105,8710.7
10172373,1602,127,105,8710.7
10172550,1602,127,105,8710.7
10172552,1602,127,105,8710.7
10172600,1602,127,105,8710.7
404653111545801,1602,127,105,8710.7
06647000,1018,127,318,34946.1
07074850,1101,127,576,52868.6
11075600,1807,126,57,6033.4
11075610,1807,126,57,6033.4
11075620,1807,126,57,6033.4
11075755,1807,126,57,6033.4
11075760,1807,126,57,6033.4
11530500,1801,126,339,31356.5
07074500,1101,125,561,51339.6
11530150,1801,124,326,30348.4
07263451,1111,122,451,38874.8
07263465,1111,122,451,38874.8
13334300,1706,122,635,47281.3
13173600,1705,122,527,47535.5
06358500,1013,122,687,60682.3
12464500,1702,122,759,78087.1
10351650,1605,121,51,4697.8
10351660,1605,121,51,4697.8
10351700,1605,121,51,4697.8
11074000,1807,121,56,5949.9
11074500,1807,121,56,5949.9
10126000,1601,120,195,19448.7
10127108,1601,120,195,19448.7
10127109,1601,120,195,19448.7
10127110,1601,120,195,19448.7
08319000,1302,120,211,21200.5
11066050,1807,119,55,5852.2
11066100,1807,119,55,5852.2
11066320,1807,119,55,5852.2
11066440,1807,119,55,5852.2
11066460,1807,119,55,5852.2
11066478,1807,119,55,5852.2
11066479,1807,119,55,5852.2
11066480,1807,119,55,5852.2
11066500,1807,119,55,5852.2
11066550,1807,119,55,5852.2
11066950,1807,119,55,5852.2
11067000,1807,119,55,5852.2
11067001,1807,119,55,5852.2
11067480,1807,119,55,5852.2
11067500,1807,119,55,5852.2
11067890,1807,119,55,5852.2
11068000,1807,119,55,5852.2
11073500,1807,119,55,5852.2
06646800,1018,119,309,33904.3
10351000,1605,118,48,4468.9
10351600,1605,118,48,4468.9
10170490,1602,118,104,8567.0
10170500,1602,118,104,8567.0
10170900,1602,118,104,8567.0
10171000,1602,118,104,8567.0
10171600,1602,118,104,8567.0
10172350,1602,118,104,8567.0
12462560,1702,118,737,83777.6
12462600,1702,118,737,83777.6
10350000,1605,116,47,4313.9
10350050,1605,116,47,4313.9
10350340,1605,116,47,4313.9
10350390,1605,116,47,4313.9
10350400,1605,116,47,4313.9
10350405,1605,116,47,4313.9
10350500,1605,116,47,4313.9
09307000,1406,116,198,15054.6
11260815,1804,116,155,15749.3
11261500,1804,116,155,15749.3
11446700,1802,115,58,5089.4
11446980,1802,115,58,5089.4
11447000,1802,115,58,5089.4
11447030,1802,115,58,5089.4
12354700,1701,114,374,28125.5
06274300,1008,114,302,34329.4
12354500,1701,113,371,27846.2
09512200,1506,113,405,33957.1
09512406,1506,113,405,33957.1
09512407,1506,113,405,33957.1
06269000,1008,113,301,34153.2
06269500,1008,113,301,34153.2
08313500,1302,112,172,17293.3
08314000,1302,112,172,17293.3
08314500,1302,112,172,17293.3
08317400,1302,112,172,17293.3
06645500,1018,112,300,32940.9
11446220,1802,111,57,4967.8
11446500,1802,111,57,4967.8
06645000,1018,111,296,32508.3
404417108524900,1404,111,386,42552.0
12353650,1701,110,355,26480.3
09512165,1506,110,404,33819.3
09512170,1506,110,404,33819.3
09512180,1506,110,404,33819.3
09512190,1506,110,404,33819.3
09512405,1506,110,404,33819.3
13317000,1706,110,444,34733.8
09371010,1408,110,413,37846.7
10348036,1605,109,40,3704.7
10348200,1605,109,40,3704.7
10348220,1605,109,40,3704.7
10348245,1605,109,40,3704.7
10348295,1605,109,40,3704.7
10348300,1605,109,40,3704.7
10348310,1605,109,40,3704.7
11425416,1802,109,56,4824.7
11425417,1802,109,56,4824.7
11433790,1802,109,56,4824.7
11433799,1802,109,56,4824.7
11433800,1802,109,56,4824.7
11433930,1802,109,56,4824.7
11434000,1802,109,56,4824.7
12353500,1701,109,346,25667.2
08313300,1302,108,168,16930.0
08313350,1302,108,168,16930.0
10117000,1601,108,187,18195.3
10117500,1601,108,187,18195.3
10118000,1601,108,187,18195.3
12353300,1701,108,336,24837.2
06423500,1012,107,297,32836.7
09522200,1503,107,459,43417.5
09528200,1503,107,459,43417.5
09531900,1503,107,459,43417.5
09532500,1503,107,459,43417.5
09533000,1503,107,459,43417.5
08313252,1302,106,167,16777.8
08313253,1302,106,167,16777.8
08313255,1302,106,167,16777.8
08313265,1302,106,167,16777.8
08313268,1302,106,167,16777.8
08313275,1302,106,167,16777.8
12353000,1701,106,320,23675.7
09419547,1501,106,370,34527.8
12340500,1701,105,315,23355.5
12341500,1701,105,315,23377.6
09512060,1506,105,403,33456.3
09512070,1506,105,403,33456.3
09235000,1404,105,354,39313.0
09234500,1404,103,345,38507.2
06090800,1003,102,346,26300.6
06268600,1008,102,253,28307.4
06643500,1018,102,276,30128.9
07260800,1111,102,386,32399.5
06892900,1027,102,399,39609.8
06892950,1027,102,399,39609.8
09522000,1503,102,458,42455.9
09522005,1503,102,458,42455.9
09531800,1503,102,458,42455.9
09531850,1503,102,458,42455.9
09521100,1503,102,458,42455.9
09523800,1503,102,458,42455.9
09523900,1503,102,458,42455.9
09524000,1503,102,458,42455.9
09526200,1503,102,458,42455.9
09526500,1503,102,458,42455.9
09527000,1503,102,458,42455.9
09527500,1503,102,458,42455.9
09530400,1503,102,458,42455.9
09530500,1503,102,458,42455.9
12453700,1702,102,689,92981.0
09502000,1506,101,396,32512.7
09502500,1506,101,396,32512.7
09511500,1506,101,396,32512.7
12453679,1702,101,688,92895.4
12453690,1702,101,688,92895.4
14171750,1709,100,139,12509.3
14174000,1709,100,139,12509.3
14188000,1709,100,139,12509.3
384936107571901,1402,100,156,13954.0
08313125,1302,100,166,16657.2
08313150,1302,100,166,16657.2
08313204,1302,100,166,16657.2
08313225,1302,100,166,16657.2
08313230,1302,100,166,16657.2
08313240,1302,100,166,16657.2
08313245,1302,100,166,16657.2
08313250,1302,100,166,16657.2
06892500,1027,100,398,39422.9
06892518,1027,100,398,39422.9
09136200,1402,99,154,13822.3
06090300,1003,99,334,25310.5
13315000,1706,99,404,31701.9
09368000,1408,99,359,33603.7
06218000,1007,99,373,35749.3
09232500,1404,99,337,37837.7
11407501,1802,98,122,10271.8
11407700,1802,98,122,10271.8
11370700,1802,97,184,16002.5
06642000,1018,97,254,27702.7
09129600,1402,96,151,13597.7
11370500,1802,96,183,15917.0
13172840,1705,96,214,18557.0
06641000,1018,96,253,27534.9
06217500,1007,96,338,32453.8
06892350,1027,96,395,39146.5
07350500,1114,96,629,61223.0
11259900,1804,95,74,7707.8
11260000,1804,95,74,7707.8
11260001,1804,95,74,7707.8
14171600,1709,95,127,11417.0
12511000,1703,95,153,15945.5
12512000,1703,95,153,15945.5
12512150,1703,95,153,15945.5
13172775,1705,95,213,18396.6
13317660,1706,95,483,37217.8
10167180,1602,94,97,8048.4
10167242,1602,94,97,8048.4
10167300,1602,94,97,8048.4
11369500,1802,94,181,15747.6
13172454,1705,94,199,17041.8
13172500,1705,94,199,17041.8
13172505,1705,94,199,17041.8
06805570,1020,94,209,21353.9
07193500,1107,94,304,31902.6
11396329,1802,93,113,9496.2
11406810,1802,93,113,9496.2
11406825,1802,93,113,9496.2
11406930,1802,93,113,9496.2
11406999,1802,93,113,9496.2
11407000,1802,93,113,9496.2
11407150,1802,93,113,9496.2
06805500,1020,93,204,20845.0
06090000,1003,93,302,22700.8
06265000,1008,93,210,23090.5
07192500,1107,93,307,32279.4
08313000,1302,92,163,16355.5
06805020,1020,92,201,20661.4
06259500,1008,92,203,22261.7
13172410,1705,91,198,16896.6
13172420,1705,91,198,16896.6
06796550,1020,91,198,20458.8
410536096194801,1020,91,198,20458.8
09260050,1405,91,212,20469.8
07191500,1107,91,284,30099.7
09251100,1405,90,209,20279.1
11366000,1802,89,160,14215.4
11366500,1802,89,160,14215.4
13172240,1705,89,194,16456.0
08406500,1306,89,497,50643.9
08407000,1306,89,498,50739.4
11256000,1804,88,56,5933.3
11523050,1801,88,241,22396.3
06214500,1007,88,312,29634.9
11420770,1802,87,38,3483.4
11420780,1802,87,38,3483.4
11420785,1802,87,38,3483.4
